count, date
5557519,2019-10-28 14:30:54
5557519,2019-10-28 14:31:04
5557536,2019-10-28 14:31:14
5557782,2019-10-28 14:31:26
5557782,2019-10-28 14:31:34
5557935,2019-10-28 14:31:44
5557935,2019-10-28 14:31:54
5558011,2019-10-28 14:32:06
5558011,2019-10-28 14:32:14
5558144,2019-10-28 14:32:24
5558201,2019-10-28 14:32:36
5558201,2019-10-28 14:32:44
5558206,2019-10-28 14:32:54
5558283,2019-10-28 14:33:04
5558283,2019-10-28 14:33:14
5558290,2019-10-28 14:33:26
5558370,2019-10-28 14:33:36
5558370,2019-10-28 14:33:44
5558531,2019-10-28 14:33:54
5558597,2019-10-28 14:34:04
5558601,2019-10-28 14:34:14
5558637,2019-10-28 14:34:24
5558957,2019-10-28 14:34:36
5558999,2019-10-28 14:34:46
5559101,2019-10-28 14:34:56
5559166,2019-10-28 14:35:06
5559174,2019-10-28 14:35:16
5559219,2019-10-28 14:35:26
5559365,2019-10-28 14:35:36
5559420,2019-10-28 14:35:46
5559421,2019-10-28 14:35:56
5559481,2019-10-28 14:36:06
5559513,2019-10-28 14:36:16
5559630,2019-10-28 14:36:26
5559630,2019-10-28 14:36:36
5559640,2019-10-28 14:36:44
5559765,2019-10-28 14:36:56
5559770,2019-10-28 14:37:06
5559810,2019-10-28 14:37:16
5559810,2019-10-28 14:37:26
5559853,2019-10-28 14:37:36
5559868,2019-10-28 14:37:46
5559908,2019-10-28 14:37:56
5559908,2019-10-28 14:38:04
5559952,2019-10-28 14:38:16
5559952,2019-10-28 14:38:24
5560003,2019-10-28 14:38:34
5560060,2019-10-28 14:38:46
5560075,2019-10-28 14:38:54
5560075,2019-10-28 14:39:04
5560135,2019-10-28 14:39:15
5560183,2019-10-28 14:39:26
5560188,2019-10-28 14:39:36
5560228,2019-10-28 14:39:46
5560253,2019-10-28 14:39:56
5560253,2019-10-28 14:40:05
5560324,2019-10-28 14:40:14
5560324,2019-10-28 14:40:26
5560435,2019-10-28 14:40:36
5560475,2019-10-28 14:40:45
5560628,2019-10-28 14:40:56
5560653,2019-10-28 14:41:06
5560685,2019-10-28 14:41:16
5560693,2019-10-28 14:41:26
5560728,2019-10-28 14:41:36
5560823,2019-10-28 14:41:45
