epoch, date
1572624651522,11394664
1572624661576,11394793
1572624671533,11394808
1572624681541,11394808
1572624691537,11394813
1572624701536,11394823
1572624711555,11394863
1572624721552,11394933
1572624731558,11394933
1572624741557,11395048
1572624751578,11395054
1572624761574,11395054
1572624773523,11395055
1572624780201,11395055
1572624791643,11395077
1572624801601,11395097
1572624811718,11395139
1572624821628,11395180
1572624831766,11395215
1572624841626,11395247
1572624851631,11395247
1572624861627,11395266
1572624871660,11395297
1572624881639,11395297
1572624891843,11395311
1572624901664,11395337
1572624911680,11395342
1572624921865,11395352
1572624930290,11395352
1572624940310,11395403
1572624951914,11395424
1572624960721,11395424
1572624971726,11395429
1572624981751,11395469
1572624991741,11395469
1572625001743,11395515
1572625011759,11395548
1572625021759,11395548
1572625031779,11395573
1572625041794,11395613
1572625051783,11395689
1572625061854,11395811
1572625071813,11395841
1572625081822,11395896
1572625091936,11396047
1572625100435,11396047
1572625110550,11396153
1572625120440,11396193
1572625131848,11396203
1572625140445,11396203
1572625150480,11396275
1572625161879,11396291
1572625170496,11396291
1572625181894,11396322
1572625190510,11396322
1572625201914,11396349
1572625210535,11396349
1572625222030,11396482
1572625230545,11396482
1572625241947,11396541
1572625251945,11396541
1572625260565,11396541
1572625270579,11396667
1572625281970,11396668
1572625290585,11396668
1572625301986,11396716
1572625310575,11396716
1572625322009,11396775
1572625330616,11396775
1572625342011,11396828
1572625350630,11396828
1572625360639,11396954
1572625372032,11397094
1572625380641,11397094
1572625392053,11397211
1572625402050,11397284
1572625410727,11397284
1572625422058,11397339
1572625430680,11397339
1572625440712,11397430
1572625452092,11397581
1572625460697,11397581
1572625472088,11397616
1572625480717,11397616
1572625492126,11397686
1572625500728,11397686
1572625512139,11397712
1572625520745,11397712
1572625532141,11397747
1572625540752,11397747
1572625552158,11397768
1572625560768,11397768
1572625572165,11397793
1572625580787,11397793
1572625592204,11397989
1572625600792,11397989
1572625612219,11398032
1572625620828,11398032
1572625632215,11398088
1572625640831,11398088
1572625652243,11398253
1572625660862,11398253
1572625672252,11398323
1572625680880,11398323
1572625692264,11398379
1572625700866,11398379
1572625710968,11398394
1572625722406,11398453
1572625730903,11398453
1572625742317,11398524
1572625750895,11398524
1572625762330,11398544
1572625770942,11398544
1572625780928,11398550
1572625792344,11398556
1572625802356,11398657
1572625810964,11398657
1572625822357,11398965
1572625830973,11398965
1572625840981,11399142
1572625852372,11399182
1572625860988,11399182
1572625872392,11399212
1572625880970,11399212
1572625892407,11399280
1572625900988,11399280
1572625912420,11399416
1572625921043,11399416
1572625932442,11399441
1572625941049,11399441
1572625952448,11399458
1572625961063,11399458
1572625972449,11399615
1572625982635,11399645
1572625991054,11399645
1572626002504,11399672
1572626012603,11399680
1572626021095,11399680
1572626032583,11399705
1572626042507,11399736
1572626052535,11399906
1572626062527,11399926
1572626072532,11399926
1572626081157,11399957
1572626092545,11399957
1572626101172,11399962
1572626112653,11399977
1572626122581,11400147
1572626132576,11400329
1572626142609,11400356
